student_id,semester,attendance,lms_logins,assignments,grade
STU001,1,88,44,8,A
STU001,2,90,46,9,A
STU001,3,92,48,10,A
STU002,1,74,31,7,B
STU002,2,76,33,8,B
STU002,3,78,35,9,B
STU003,1,84,38,7,A
STU003,2,86,40,8,A
STU003,3,88,42,9,A
STU004,1,61,18,4,C
STU004,2,63,20,5,C
STU004,3,65,22,6,C
STU005,1,91,46,8,A
STU005,2,93,48,9,A
STU005,3,95,50,10,A
STU006,1,68,24,5,B
STU006,2,70,26,6,B
STU006,3,72,28,7,B
STU007,1,54,14,3,C
STU007,2,56,16,4,C
STU007,3,58,18,5,C
STU008,1,81,36,7,A
STU008,2,83,38,8,A
STU008,3,85,40,9,A
STU009,1,87,41,8,A
STU009,2,89,43,9,A
STU009,3,91,45,10,A
STU010,1,58,16,2,C
STU010,2,60,18,3,C
STU010,3,62,20,4,C
STU011,1,84,39,7,A
STU011,2,86,41,8,A
STU011,3,88,43,9,A
STU012,1,72,28,6,B
STU012,2,74,30,7,B
STU012,3,76,32,8,B
STU013,1,89,43,8,A
STU013,2,91,45,9,A
STU013,3,93,47,10,A
STU014,1,51,11,1,C
STU014,2,53,13,2,C
STU014,3,55,15,3,C
STU015,1,85,40,7,A
STU015,2,87,42,8,A
STU015,3,89,44,9,A
STU016,1,66,22,4,B
STU016,2,68,24,5,B
STU016,3,70,26,6,B
STU017,1,93,47,8,A
STU017,2,95,49,9,A
STU017,3,97,51,10,A
STU018,1,64,21,3,C
STU018,2,66,23,4,C
STU018,3,68,25,5,C
STU019,1,78,34,6,B
STU019,2,80,36,7,B
STU019,3,82,38,8,B
STU020,1,55,13,2,C
STU020,2,57,15,3,C
STU020,3,59,17,4,C
STU021,1,90,45,8,A
STU021,2,92,47,9,A
STU021,3,94,49,10,A
STU022,1,71,26,5,B
STU022,2,73,28,6,B
STU022,3,75,30,7,B
STU023,1,82,37,7,A
STU023,2,84,39,8,A
STU023,3,86,41,9,A
STU024,1,48,9,0,C
STU024,2,50,11,1,C
STU024,3,52,13,2,C
STU025,1,86,42,8,A
STU025,2,88,44,9,A
STU025,3,90,46,10,A
STU026,1,74,30,6,B
STU026,2,76,32,7,B
STU026,3,78,34,8,B
STU027,1,83,39,7,A
STU027,2,85,41,8,A
STU027,3,87,43,9,A
STU028,1,60,17,3,C
STU028,2,62,19,4,C
STU028,3,64,21,5,C
STU029,1,87,43,8,A
STU029,2,89,45,9,A
STU029,3,91,47,10,A
STU030,1,69,25,5,B
STU030,2,71,27,6,B
STU030,3,73,29,7,B
